intent	mode	earlier_hold	on_lapse	state	event	outcome
permanent	auto	yes	revert	Unchecked	Check	-> Checked
permanent	auto	yes	revert	Checked	Request	-> Pending
permanent	auto	yes	revert	Pending	Approve	-> Applying
permanent	auto	yes	revert	Pending	ApprovalWindowLapses	-> ApprovalExpired
permanent	auto	yes	revert	Pending	Cancel	-> Closed
permanent	auto	yes	revert	Pending	HostContractChanged	-> Closed
permanent	auto	yes	revert	ApprovalExpired	Cancel	-> Closed
permanent	auto	yes	revert	Applying	CommitItem	-> Committed
permanent	auto	yes	revert	Applying	Refuse	-> Held
permanent	auto	yes	revert	Applying	WaitAtStep	-> Waiting
permanent	auto	yes	revert	Applying	DeferAtStep	-> Deferred
permanent	auto	yes	revert	Applying	Renew	refuse R0102
permanent	auto	yes	revert	Applying	Confirm	stay
permanent	auto	yes	revert	Waiting	WaitSatisfied	-> Applying
permanent	auto	yes	revert	Waiting	Recant	-> Reverting
permanent	auto	yes	revert	Waiting	BoundLapses	-> Reverting
permanent	auto	yes	revert	Deferred	HandoffDone	-> Applying
permanent	auto	yes	revert	Deferred	Recant	-> Reverting
permanent	auto	yes	revert	Deferred	CommitVerb	-> Committed
permanent	auto	yes	revert	Held	Recant	-> Reverting
permanent	auto	yes	revert	Held	CommitVerb	-> Committed
permanent	auto	yes	revert	Held	Resume	-> Applying
permanent	auto	yes	revert	Expired	UndoClean	-> Closed
permanent	auto	yes	revert	Expired	UndoFailed	-> Stuck
permanent	auto	yes	revert	Expired	DriftOnDefer	-> DriftHeld
permanent	auto	yes	revert	Reverting	UndoClean	-> Closed
permanent	auto	yes	revert	Reverting	UndoFailed	-> Stuck
permanent	auto	yes	revert	Reverting	DriftOnDefer	-> DriftHeld
permanent	auto	yes	revert	Stuck	Retry	-> Reverting
permanent	auto	yes	revert	Stuck	Abandon	-> Closed
permanent	auto	yes	revert	DriftHeld	Recant	refuse R0103
permanent	auto	yes	revert	DriftHeld	ForceDrift	-> Reverting
permanent	auto	yes	revert	DriftHeld	Abandon	-> Closed
permanent	auto	yes	hold	Unchecked	Check	-> Checked
permanent	auto	yes	hold	Checked	Request	-> Pending
permanent	auto	yes	hold	Pending	Approve	-> Applying
permanent	auto	yes	hold	Pending	ApprovalWindowLapses	-> ApprovalExpired
permanent	auto	yes	hold	Pending	Cancel	-> Closed
permanent	auto	yes	hold	Pending	HostContractChanged	-> Closed
permanent	auto	yes	hold	ApprovalExpired	Cancel	-> Closed
permanent	auto	yes	hold	Applying	CommitItem	-> Committed
permanent	auto	yes	hold	Applying	Refuse	-> Held
permanent	auto	yes	hold	Applying	WaitAtStep	-> Waiting
permanent	auto	yes	hold	Applying	DeferAtStep	-> Deferred
permanent	auto	yes	hold	Applying	Renew	refuse R0102
permanent	auto	yes	hold	Applying	Confirm	stay
permanent	auto	yes	hold	Waiting	WaitSatisfied	-> Applying
permanent	auto	yes	hold	Waiting	Recant	-> Reverting
permanent	auto	yes	hold	Waiting	BoundLapses	-> Reverting
permanent	auto	yes	hold	Deferred	HandoffDone	-> Applying
permanent	auto	yes	hold	Deferred	Recant	-> Reverting
permanent	auto	yes	hold	Deferred	CommitVerb	-> Committed
permanent	auto	yes	hold	Held	Recant	-> Reverting
permanent	auto	yes	hold	Held	CommitVerb	-> Committed
permanent	auto	yes	hold	Held	Resume	-> Applying
permanent	auto	yes	hold	Expired	UndoClean	-> Closed
permanent	auto	yes	hold	Expired	UndoFailed	-> Stuck
permanent	auto	yes	hold	Expired	DriftOnDefer	-> DriftHeld
permanent	auto	yes	hold	Reverting	UndoClean	-> Closed
permanent	auto	yes	hold	Reverting	UndoFailed	-> Stuck
permanent	auto	yes	hold	Reverting	DriftOnDefer	-> DriftHeld
permanent	auto	yes	hold	Stuck	Retry	-> Reverting
permanent	auto	yes	hold	Stuck	Abandon	-> Closed
permanent	auto	yes	hold	DriftHeld	Recant	refuse R0103
permanent	auto	yes	hold	DriftHeld	ForceDrift	-> Reverting
permanent	auto	yes	hold	DriftHeld	Abandon	-> Closed
